Priority,Fit (1-5),Company,Segment,HQ,Est. Premium / GWP (yr),Primary Lines of Business,Legacy / Core-System Signal,Trigger — Why Now,Existing Decerto Relationship,Buying Committee (contact pass),Source,Contact (enriched),Signal (enriched),Fit (re-scored),Priority (re-scored),Outreach accelerant
Medium,3,West Bend Mutual Insurance,Mid-Tier P&C,"West Bend, WI",~$2.25B DWP (2024),"Commercial (The Silver Lining), personal, specialty",Not on Guidewire public list; core unconfirmed,Right size; core stack unconfirmed = discovery target,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,WI OCI exam report,,,,3,Medium,
Medium,3,SECURA Insurance,Mid-Tier P&C,"Neenah, WI",~$999M DWP (2024),"Commercial, farm-ag, specialty, personal",Core vendor unconfirmed,"Just under $1B, independent-agent; good discovery target",CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,SECURA 2024 Annual Report,,,,3,Medium,
Medium,3,Central Insurance (Central Mutual),Mid-Tier P&C,"Van Wert, OH",~$900M-$1B DWP (est.),"Commercial P&C, personal auto/home",Core unconfirmed,In-band; qualify size and core together,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,AM Best/industry est.,,,,3,Medium,
Medium,3,Plymouth Rock Assurance,Mid-Tier P&C,"Boston, MA",>$2B managed premium (2024),"Personal auto, home, motorcycle, some commercial auto",No disclosed core PAS; modernizing at the edges (AI/cloud),NE multi-state personal-lines; underlying core undisclosed,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,plymouthrock.com financials,,,,3,Medium,
Medium,3,Penn National Insurance,Mid-Tier P&C,"Harrisburg, PA",~$800M-$950M (est.),Multi-line P&C; personal & commercial auto,Decade-old Duck Creek commercial + likely legacy personal lines,Aging partial modernization; qualify entrenchment,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,Accenture 2015; company data,,,,3,Medium,
Medium,3,Texas Farm Bureau Insurance,Mid-Tier P&C,"Waco, TX",~$1.5-$2.5B group (est.),"Personal auto, home/dwelling, farm & ranch",No modern-core evidence; 3 straight years of losses (AM Best downgrade 2024),Financial pressure supports an efficiency/modernization case,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,Insurance Journal Oct 2024,,,,3,Medium,
Medium,3,AF Group / Accident Fund (Emergent),Mid-Tier P&C,"Lansing, MI",~$3.28B GWP (2024),"Workers' comp specialist, specialty commercial",No external core vendor; historically custom/proprietary,Large WC group; qualify whether legacy WC admin is in play,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,AF Group 2024 Annual Report,,,,3,Medium,
Medium,3,Westfield Insurance (Ohio Farmers),Mid-Tier P&C,"Westfield Center, OH",~$4.2B DWP (2025),"Commercial P&C, personal, surety, E&S",Core platform unconfirmed — worth a core dig,Sold banking business (Nov 2025) to focus purely on insurance,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,Westfield/PRNewswire Nov 2025,,,,3,Medium,
Medium,3,Acuity Insurance,Mid-Tier P&C,"Sheboygan, WI",~$2.3-$2.6B written (est.),"Personal, commercial, workers' comp",Historically heavy in-house/custom-built technology,"Cash-rich builder — fit is a point rules engine, not rip-and-replace",CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,acuity.com; WI OCI exam,,,,3,Medium,
Medium,3,Selective Insurance Group (SIGI),Mid-Tier P&C,"Branchville, NJ",~$4.87B NPW (FY2025),"Standard commercial lines, personal lines, E&S",Customized proprietary core; no fresh vendor migration,At top of GWP band — qualify size; strong if modular angle fits,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,SIGI Q4 2025 earnings,,,,3,Medium,
Qualify,2,Grange Insurance,Mid-Tier P&C,"Columbus, OH",~$1.59B DWP (2024),"Personal, commercial (BOP/mid-market), umbrella",Verify Guidewire vs. legacy (weaker fit if Guidewire),Launching umbrella product; growing tech ops — confirm core first,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,Grange 2024 Annual Report,,,,2,Qualify,
Qualify,2,Kentucky Farm Bureau Mutual,Mid-Tier P&C,"Louisville, KY",~$1.56B DWP (2024),"Personal auto, home/farm, small commercial","15-yr-old on-prem Guidewire (ClaimCenter 2008, PolicyCenter 2011)",Aging Guidewire estate — but incumbency may favor a Cloud upgrade over replacement,CIO/CTO or Head of IT; Head of Distribution/Sales; Head of Digital/Transformation or COO,NAIC 2024; Guidewire IR,,,,2,Qualify,
High,5,Skyward Specialty Insurance (SKWD),Specialty / MGA / E&S,"Houston, TX",$1.74B GWP (FY2024),"E&S, programs, captives, surety, A&H (8 divisions)",'Rule Our Niche' — launched 4 new niche units in 2024,Standing up new product lines/programs constantly; needs days-not-quarters,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,Skyward FY2024 results,,"Dan Bodnar, Chief Info & Tech Officer",2024 HoustonCIO ORBIE winner; visible/reachable,5,High,
High,5,Palomar Holdings (PLMR),Specialty / MGA / E&S,"La Jolla, CA",$1.54B GWP (FY2024),"Earthquake, inland marine, fronting, casualty, crop",Parametric triggers + fronting + many product structures; high cession,Parametric + fronting + reinsurance-heavy = multi-structure config need,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,Palomar FY2024 results,,"Mark Brose, CTO; Rudy Herve, COO",,5,High,
High,4,Kinsale Capital Group (KNSL),Specialty / MGA / E&S,"Richmond, VA",$1.9B GWP (FY2024),"E&S — hard-to-place small/mid commercial, casualty, property",Tech-driven low-cost fast quoting on a shifting risk appetite,Rapid class entry/exit demands highly configurable rating,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,Kinsale FY2024 results,,"Salmaan Allibhai, EVP Chief Analytics & Tech Officer",CIO Schnupp retired Apr 2026 - leadership in transition,4,High,New/open IT leadership = timing trigger
High,4,"Coalition, Inc.",Specialty / MGA / E&S,"San Francisco, CA","~$1B+ GWP (est., 2024-25)",Cyber insurance MGA (on partner paper),Real-time cyber risk scoring; continuous repricing,Product versioning must keep pace with live threat data,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,Coalition/Insurtech Insights,,"Maha Virudhagiri, CTO (ex-Tesla)",First-ever CTO - stack still forming,3,Medium,
High,4,"At-Bay, Inc.",Specialty / MGA / E&S,"San Francisco, CA",~$155M rev 2024 (GWP larger),Cyber + tech E&O MGA,"Security-data-driven underwriting; retains ~15%, cedes rest",Frequent coverage innovation tied to external data feeds,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,Forbes 2024,,"Ayelet Kutner, CTO",,3,Medium,
High,4,"Trupanion, Inc. (TRUP)",Specialty / MGA / E&S,"Seattle, WA",$856M subscription rev (FY2024),Pet insurance (direct-to-vet payment model),Breed/age/geo rating across 1M+ pets; monthly repricing,"Granular, frequently-adjusted rating at high volume",CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,Trupanion FY2024 results,,Craig (CTO); CIO search underway,Open CIO role = trigger,4,High,New/open IT leadership = timing trigger
High,4,Falvey Insurance Group,Specialty / MGA / E&S,"North Kingstown, RI",Large marine MGU (undisclosed),"Marine cargo, stock throughput, inland/ocean marine","Bespoke per-shipper, per-route manuscript endorsements",Sentry cargo-capacity partnership (2024) = growth on manual product build,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,PR Newswire 2024,,"Jack Falvey, CEO (owns tech; no CIO)",Small MGA - CEO-led tech; runs UIP platform,4,High,
High,4,"AMERISAFE, Inc. (AMSF)",Specialty / MGA / E&S,"DeRidder, LA",~$294M GWP (FY2024),"High-hazard workers' comp (construction, logging, oil & gas)",Class-code/state-intensive rating + heavy audit/experience-mod logic,Complex hazardous-class WC rating to manage without hard-coding,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,AMERISAFE FY2024 results,,No public CIO,IT lead not public - enrich via Apollo/LinkedIn,4,High,
High,4,Bowhead Specialty Holdings (BOW),Specialty / MGA / E&S,"New York, NY","~$696M GWP (FY2024, +37%)","Casualty, professional & healthcare liability, small E&S",Launched Baleen tech-enabled small-E&S unit (2024),"Automated underwriting for high-volume, small hard-to-place risks",CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,Bowhead FY2024 results,,CIO in place (name TBD),"Founded 2020, tech-forward (Baleen) - likely already modern",3,Medium,
High,4,Fortegra Group,Specialty / MGA / E&S,"Jacksonville, FL",~$1.2B+ premium rev,"Warranty/service contracts, VSC, E&S, embedded/credit",Per-partner bespoke warranty & embedded program terms,Being acquired by DB Insurance ($1.65B) — integration + program sprawl,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,company/industry reports,,"Joe Lettween, Chief Innovation/Data/Tech",,4,High,
High,4,SageSure,Specialty / MGA / E&S,"Jersey City, NJ",$1B+ inforce premium (2024),"Coastal/cat-exposed property, residential earthquake",Granular geography/peril rating; frequent cat-model updates,Acquired GeoVera MGA (2024); scaling across states/perils,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,SageSure press release,,"Paul VanderMarck, Chief Tech & Innovation Officer",,4,High,
High,4,Accelerant Holdings (ARX),Specialty / MGA / E&S,"Atlanta, GA",~$4.2B exchange premium (2024/25),Program/specialty risk exchange (200+ member MGAs),"Onboards many MGAs, each with unique economics & rating",IPO'd 2025; needs multi-tenant configurable core to scale onboarding,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,Insurance Business 2025,,"Paul Holden, Group CIO; Pete Horst, CTO",Self-described data/tech company - likely modern,3,Medium,
High,4,K2 Insurance Services,Specialty / MGA / E&S,"San Diego, CA",~$2B premium under mgmt (2024),"36 MGAs: transportation, professional, specialty, cyber","Dozens of distinct programs, each own product/rating/workflow",Launched K2 Cyber (2025); one platform to run many programs,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,k2ins.com,,"Keith Moore, CTO",,4,High,
Medium,3,Nirvana Insurance,Specialty / MGA / E&S,"San Francisco, CA",Undisclosed (scaling),Specialty trucking / fleet (telematics-based),Telematics-driven usage-based fleet pricing,$80M raise at $830M valuation (2025) — verify premium scale,CIO/CTO or Head of IT; Chief Underwriting Officer; Head of Product/Digital,TechCrunch 2025,,,,3,Medium,
High,5,Trisura Specialty (Trisura US),Reinsurance-Heavy,"Dallas, TX / OK-domiciled",US fronting GWP up double digits,Hybrid fronting / program carrier,"Cedes 80%+ of premium — extreme treaty count, per-program quota-share",Fronting economics live or die on accurate multi-treaty cession accounting,CIO/CTO or Head of IT; Chief Actuary / Head of Ceded Reinsurance; CFO,The Insurer / Program Manager 2026,,"Gary Robinson, CIO (US)",,5,High,
High,5,Clear Blue Insurance Group,Reinsurance-Heavy,"Charlotte, NC",Several hundred $M+ fronted (est.),Pure fronting / program carrier,Cedes ~80-90% across many reinsurers per MGA program,Among the most Schedule-F- and ceded-tracking-intensive models in US P&C,CIO/CTO or Head of IT; Chief Actuary / Head of Ceded Reinsurance; CFO,company/industry profiles,,"Peter Klope, COO (lean IT)",98 employees - COO owns systems,5,High,
High,4,Great American Crop (American Financial Group),Reinsurance-Heavy,"Cincinnati, OH",~$2B crop premium (2024),"Crop (Federal MPCI + crop-hail), specialty",FCIC/SRA government cession + private quota-share/stop-loss layers,Crop cession complexity (government + private) few platforms solve,CIO/CTO or Head of IT; Chief Actuary / Head of Ceded Reinsurance; CFO,Insurance Business 2024,,"Joseph Kowaleski, SVP & CIO",Crop division under AFG,4,High,
High,4,Odyssey Group / OdysseyRe,Reinsurance-Heavy,"Stamford, CT",Multi-billion GWP (est.),US assumed reinsurance + specialty insurance,Inward treaty portfolios + retrocession; complex ceded/assumed recon,Assumed-reinsurance and retro complexity is native-treaty-engine territory,CIO/CTO or Head of IT; Chief Actuary / Head of Ceded Reinsurance; CFO,company reporting,,No named CIO (Fairfax sub),IT lead not public - enrich via Apollo/LinkedIn,4,High,
Medium,3,HCI Group / TypTap (HCI),Reinsurance-Heavy,"Tampa, FL","~$1B+ scale (est., 2024-25)",FL / multi-state property,Layered cat XOL + quota-share + FHCF; heavy Schedule F burden,Tech-forward growth cedent already open to insurtech = easy modular sell,CIO/CTO or Head of IT; Chief Actuary / Head of Ceded Reinsurance; CFO,company investor releases,,,,3,Medium,
High,4,Allianz Life of North America,Tier-1 Modular,"Minneapolis, MN",Top-5 US annuity seller (2024),"Fixed-index annuities, life",Modular product-config rules engine + FMO/IMO distribution portal,WARM — Allianz is a named Decerto partner; expansion into US annuity base,Head of Digital/Transformation; Head of Distribution; CIO/CTO,LIMRA via InsuranceNewsNet 2025,,"Luca Gallo, COO; John Fottrell, CIO NA",WARM: Allianz is a Decerto client globally,4,High,WARM group tie (runs Decerto globally)
High,4,Generali Global Assistance (US),Tier-1 Modular,"Bethesda, MD",Significant US travel presence,"Travel insurance, assistance (CSA lineage)",High-volume rules-driven travel product + partner/agent portal,WARM — Generali is a named Decerto partner; clear modular need,Head of Digital/Transformation; Head of Distribution; CIO/CTO,industry ratings 2026,,"Michael Gussow, US CIO",WARM: Generali is a Decerto client globally,4,High,WARM group tie (runs Decerto globally)
High,4,Allianz Commercial / AGCS US,Tier-1 Modular,"Chicago, IL / New York, NY",Multi-billion global segment,Large-corporate & specialty commercial P&C,Modular business-rules engine + broker portal over existing core,LIKELY WARM — Allianz group relationship,Head of Digital/Transformation; Head of Distribution; CIO/CTO,commercial.allianz.com,,"John Fottrell, CIO North America (Allianz Tech)",WARM: Allianz group relationship,4,High,WARM group tie (runs Decerto globally)
High,4,Nationwide,Tier-1 Modular,"Columbus, OH",Top-10 US P&C + financial services,"P&C, ag, financial lines","Agent-portal + rules-engine modernization for 10,000+ appointed agencies",Textbook 'portal for tens of thousands of agents' minus core replacement,Head of Digital/Transformation; Head of Distribution; CIO/CTO,Nationwide 2020-25,,"Tammy Craig, SVP & CIO Commercial Lines; Michael Carrel, CTO",$1.5B tech transformation underway,4,High,
Medium,3,Liberty Mutual,Tier-1 Modular,"Boston, MA",Top-5 US P&C by premium,Multi-line P&C (agent + direct),Modular business-rules + portal atop entrenched core,Massive multi-line agent/broker distribution to modernize in modules,Head of Digital/Transformation; Head of Distribution; CIO/CTO,AM Best / company,,,,3,Medium,
Medium,3,Zurich North America,Tier-1 Modular,"Schaumburg, IL",Major US commercial P&C,Commercial / specialty,Modular rules engine + broker portal layer,"Global-group US subsidiary that buys modernization in modules, not big-bang",Head of Digital/Transformation; Head of Distribution; CIO/CTO,company / industry,,,,3,Medium,
